,prime AAB,prime ABA,prime ABB,prime ABCa,prime ABCb
AAB Pattern Outputs,825.0,689.0,831.0,433.0,353.0
ABA Pattern Outputs,46.0,115.0,20.0,4.0,4.0
ABB Pattern Outputs,4.0,18.0,58.0,0.0,0.0
ABC Pattern Outputs,76.0,158.0,75.0,545.0,609.0
Other Outputs,2.0,0.0,0.0,0.0,0.0
