,prime AAB,prime ABA,prime ABB,prime ABCa,prime ABCb
AAB Pattern Outputs,815.0,189.0,89.0,0.0,0.0
ABA Pattern Outputs,23.0,198.0,57.0,1.0,0.0
ABB Pattern Outputs,9.0,81.0,441.0,4.0,3.0
ABC Pattern Outputs,144.0,517.0,400.0,990.0,996.0
Other Outputs,9.0,15.0,13.0,5.0,1.0
