,prime AAB,prime ABA,prime ABB,prime ABCa,prime ABCb
AAB Pattern Outputs,495.0,153.0,155.0,12.0,13.0
ABA Pattern Outputs,217.0,279.0,157.0,15.0,14.0
ABB Pattern Outputs,8.0,15.0,167.0,1.0,3.0
ABC Pattern Outputs,221.0,533.0,501.0,963.0,963.0
Other Outputs,59.0,20.0,20.0,9.0,7.0
