,prime AAB,prime ABA,prime ABB,prime ABCa,prime ABCb
AAB Pattern Outputs,485.0,153.0,155.0,12.0,13.0
ABA Pattern Outputs,217.0,275.0,157.0,15.0,14.0
ABB Pattern Outputs,8.0,15.0,161.0,1.0,3.0
ABC Pattern Outputs,220.0,532.0,500.0,963.0,962.0
Other Outputs,40.0,5.0,7.0,0.0,0.0
