,prime AAB,prime ABA,prime ABB,prime ABCa,prime ABCb
AAB Pattern Outputs,765.0,183.0,244.0,0.0,1.0
ABA Pattern Outputs,31.0,307.0,94.0,1.0,0.0
ABB Pattern Outputs,8.0,28.0,239.0,4.0,7.0
ABC Pattern Outputs,166.0,471.0,405.0,992.0,990.0
Other Outputs,30.0,11.0,18.0,3.0,2.0
