,prime AAB,prime ABA,prime ABB,prime ABCa,prime ABCb
AAB Pattern Outputs,969.0,196.0,274.0,3.0,8.0
ABA Pattern Outputs,0.0,459.0,1.0,4.0,2.0
ABB Pattern Outputs,0.0,73.0,534.0,0.0,28.0
ABC Pattern Outputs,9.0,188.0,142.0,993.0,950.0
Other Outputs,17.0,55.0,5.0,0.0,1.0
