,prime AAB,prime ABA,prime ABB,prime ABCa,prime ABCb
AAB Pattern Outputs,356.0,171.0,253.0,86.0,287.0
ABA Pattern Outputs,35.0,263.0,93.0,430.0,75.0
ABB Pattern Outputs,1.0,13.0,326.0,2.0,22.0
ABC Pattern Outputs,10.0,114.0,215.0,479.0,502.0
Other Outputs,520.0,311.0,71.0,1.0,38.0
