,prime AAB,prime ABA,prime ABB,prime ABCa,prime ABCb
AAB Pattern Outputs,384.0,67.0,80.0,19.0,21.0
ABA Pattern Outputs,189.0,264.0,117.0,10.0,11.0
ABB Pattern Outputs,25.0,20.0,143.0,11.0,8.0
ABC Pattern Outputs,350.0,602.0,598.0,944.0,939.0
Other Outputs,52.0,47.0,62.0,16.0,21.0
