,prime AAB,prime ABA,prime ABB,prime ABCa,prime ABCb
AAB Pattern Outputs,591.0,56.0,90.0,1.0,1.0
ABA Pattern Outputs,23.0,275.0,59.0,0.0,2.0
ABB Pattern Outputs,23.0,26.0,207.0,5.0,10.0
ABC Pattern Outputs,335.0,637.0,622.0,990.0,976.0
Other Outputs,28.0,6.0,22.0,4.0,11.0
