,prime AAB,prime ABA,prime ABB,prime ABCa,prime ABCb
AAB Pattern Outputs,499.0,1.0,0.0,3.0,0.0
ABA Pattern Outputs,0.0,380.0,0.0,34.0,2.0
ABB Pattern Outputs,0.0,0.0,406.0,32.0,37.0
ABC Pattern Outputs,0.0,115.0,93.0,425.0,453.0
Other Outputs,1.0,4.0,0.0,5.0,2.0
