,prime AAB,prime ABA,prime ABB,prime ABCa,prime ABCb
AAB Pattern Outputs,593.0,1.0,0.0,3.0,0.0
ABA Pattern Outputs,0.0,464.0,0.0,34.0,2.0
ABB Pattern Outputs,0.0,0.0,488.0,32.0,37.0
ABC Pattern Outputs,0.0,131.0,109.0,515.0,559.0
Other Outputs,7.0,4.0,3.0,16.0,2.0
