,prime AAB,prime ABA,prime ABB,prime ABCa,prime ABCb
AAB Pattern Outputs,785.0,2.0,1.0,3.0,0.0
ABA Pattern Outputs,0.0,639.0,0.0,34.0,2.0
ABB Pattern Outputs,0.0,0.0,656.0,32.0,37.0
ABC Pattern Outputs,0.0,153.0,130.0,703.0,750.0
Other Outputs,1.0,4.0,0.0,5.0,2.0
