,prime AAB,prime ABA,prime ABB,prime ABCa,prime ABCb
AAB Pattern Outputs,493.0,62.0,61.0,59.0,74.0
ABA Pattern Outputs,97.0,324.0,2.0,45.0,7.0
ABB Pattern Outputs,0.0,0.0,345.0,27.0,20.0
ABC Pattern Outputs,1.0,192.0,179.0,434.0,461.0
Other Outputs,1.0,3.0,3.0,17.0,9.0
