,prime AAB,prime ABA,prime ABB,prime ABCa,prime ABCb
AAB Pattern Outputs,788.0,2.0,1.0,3.0,0.0
ABA Pattern Outputs,0.0,641.0,0.0,34.0,2.0
ABB Pattern Outputs,0.0,0.0,659.0,32.0,37.0
ABC Pattern Outputs,0.0,153.0,130.0,705.0,758.0
Other Outputs,12.0,4.0,10.0,26.0,3.0
