,prime AAB,prime ABA,prime ABB,prime ABCa,prime ABCb
AAB Pattern Outputs,586.0,123.0,127.0,107.0,135.0
ABA Pattern Outputs,100.0,346.0,2.0,45.0,7.0
ABB Pattern Outputs,0.0,0.0,367.0,27.0,20.0
ABC Pattern Outputs,1.0,196.0,184.0,479.0,499.0
Other Outputs,1.0,3.0,3.0,17.0,9.0
