,prime AAB,prime ABA,prime ABB,prime ABCa,prime ABCb
AAB Pattern Outputs,678.0,194.0,184.0,160.0,189.0
ABA Pattern Outputs,105.0,361.0,4.0,45.0,7.0
ABB Pattern Outputs,0.0,0.0,393.0,27.0,20.0
ABC Pattern Outputs,1.0,201.0,192.0,519.0,540.0
Other Outputs,1.0,3.0,3.0,17.0,9.0
