,prime AAB,prime ABA,prime ABB,prime ABCa,prime ABCb
AAB Pattern Outputs,855.0,306.0,311.0,278.0,308.0
ABA Pattern Outputs,122.0,413.0,7.0,46.0,7.0
ABB Pattern Outputs,0.0,0.0,437.0,27.0,20.0
ABC Pattern Outputs,2.0,208.0,203.0,603.0,636.0
Other Outputs,21.0,73.0,42.0,46.0,29.0
