,prime AAB,prime ABA,prime ABB,prime ABCa,prime ABCb
AAB Pattern Outputs,982.0,3.0,2.0,3.0,0.0
ABA Pattern Outputs,0.0,816.0,0.0,34.0,2.0
ABB Pattern Outputs,0.0,0.0,813.0,36.0,38.0
ABC Pattern Outputs,0.0,173.0,160.0,886.0,948.0
Other Outputs,2.0,4.0,0.0,5.0,2.0
