,prime AAB,prime ABA,prime ABB,prime ABCa,prime ABCb
AAB Pattern Outputs,407.0,5.0,2.0,14.0,16.0
ABA Pattern Outputs,90.0,301.0,1.0,45.0,7.0
ABB Pattern Outputs,0.0,0.0,323.0,27.0,20.0
ABC Pattern Outputs,1.0,190.0,169.0,394.0,441.0
Other Outputs,2.0,4.0,5.0,20.0,16.0
