,prime AAB,prime ABA,prime ABB,prime ABCa,prime ABCb
AAB Pattern Outputs,606.0,76.0,88.0,28.0,33.0
ABA Pattern Outputs,200.0,347.0,127.0,13.0,12.0
ABB Pattern Outputs,10.0,25.0,294.0,4.0,3.0
ABC Pattern Outputs,108.0,514.0,464.0,931.0,934.0
Other Outputs,33.0,2.0,5.0,2.0,2.0
