,prime AAB,prime ABA,prime ABB,prime ABCa,prime ABCb
AAB Pattern Outputs,623.0,76.0,88.0,28.0,33.0
ABA Pattern Outputs,200.0,359.0,127.0,13.0,12.0
ABB Pattern Outputs,10.0,25.0,304.0,4.0,3.0
ABC Pattern Outputs,108.0,514.0,464.0,937.0,939.0
Other Outputs,59.0,26.0,17.0,18.0,13.0
