,prime AAB,prime ABA,prime ABB,prime ABCa,prime ABCb
AAB Pattern Outputs,880.0,83.0,73.0,2.0,5.0
ABA Pattern Outputs,15.0,435.0,87.0,0.0,1.0
ABB Pattern Outputs,5.0,27.0,482.0,6.0,3.0
ABC Pattern Outputs,93.0,431.0,326.0,989.0,983.0
Other Outputs,7.0,24.0,32.0,3.0,8.0
