,prime AAB,prime ABA,prime ABB,prime ABCa,prime ABCb
AAB Pattern Outputs,876.0,83.0,73.0,2.0,5.0
ABA Pattern Outputs,15.0,432.0,87.0,0.0,1.0
ABB Pattern Outputs,5.0,27.0,481.0,6.0,3.0
ABC Pattern Outputs,93.0,430.0,326.0,989.0,983.0
Other Outputs,6.0,2.0,1.0,0.0,0.0
