,prime AAB,prime ABA,prime ABB,prime ABCa,prime ABCb
AAB Pattern Outputs,335.0,53.0,68.0,6.0,3.0
ABA Pattern Outputs,21.0,49.0,25.0,0.0,0.0
ABB Pattern Outputs,43.0,95.0,138.0,24.0,8.0
ABC Pattern Outputs,565.0,776.0,752.0,953.0,983.0
Other Outputs,23.0,0.0,2.0,0.0,0.0
