,prime AAB,prime ABA,prime ABB,prime ABCa,prime ABCb
AAB Pattern Outputs,981.0,50.0,104.0,6.0,3.0
ABA Pattern Outputs,0.0,705.0,0.0,0.0,0.0
ABB Pattern Outputs,0.0,4.0,618.0,5.0,27.0
ABC Pattern Outputs,12.0,102.0,249.0,989.0,970.0
Other Outputs,7.0,139.0,29.0,0.0,0.0
