,prime AAB,prime ABA,prime ABB,prime ABCa,prime ABCb
AAB Pattern Outputs,378.0,103.0,191.0,153.0,140.0
ABA Pattern Outputs,382.0,623.0,153.0,41.0,19.0
ABB Pattern Outputs,0.0,1.0,326.0,3.0,22.0
ABC Pattern Outputs,61.0,101.0,234.0,773.0,685.0
Other Outputs,155.0,129.0,71.0,6.0,26.0
