,prime AAB,prime ABA,prime ABB,prime ABCa,prime ABCb
AAB Pattern Outputs,400.0,103.0,191.0,153.0,141.0
ABA Pattern Outputs,382.0,665.0,153.0,41.0,19.0
ABB Pattern Outputs,0.0,1.0,350.0,3.0,23.0
ABC Pattern Outputs,61.0,101.0,234.0,797.0,791.0
Other Outputs,157.0,130.0,72.0,6.0,26.0
