,prime AAB,prime ABA,prime ABB,prime ABCa,prime ABCb
AAB Pattern Outputs,751.0,316.0,737.0,695.0,818.0
ABA Pattern Outputs,1.0,91.0,2.0,0.0,0.0
ABB Pattern Outputs,0.0,0.0,84.0,0.0,0.0
ABC Pattern Outputs,1.0,9.0,7.0,219.0,116.0
Other Outputs,0.0,0.0,1.0,0.0,0.0
