,prime AAB,prime ABA,prime ABB,prime ABCa,prime ABCb
AAB Pattern Outputs,119.0,10.0,16.0,72.0,37.0
ABA Pattern Outputs,159.0,211.0,78.0,48.0,18.0
ABB Pattern Outputs,0.0,0.0,91.0,17.0,33.0
ABC Pattern Outputs,0.0,109.0,158.0,182.0,221.0
Other Outputs,117.0,64.0,42.0,70.0,67.0
