,prime AAB,prime ABA,prime ABB,prime ABCa,prime ABCb
AAB Pattern Outputs,819.0,31.0,26.0,7.0,9.0
ABA Pattern Outputs,0.0,703.0,0.0,1.0,1.0
ABB Pattern Outputs,0.0,0.0,580.0,177.0,199.0
ABC Pattern Outputs,0.0,112.0,333.0,793.0,765.0
Other Outputs,171.0,143.0,57.0,21.0,16.0
