,prime AAB,prime ABA,prime ABB,prime ABCa,prime ABCb
AAB Pattern Outputs,168.0,3.0,2.0,2.0,1.0
ABA Pattern Outputs,0.0,140.0,0.0,0.0,0.0
ABB Pattern Outputs,0.0,0.0,110.0,45.0,44.0
ABC Pattern Outputs,0.0,22.0,75.0,147.0,154.0
Other Outputs,29.0,33.0,11.0,5.0,0.0
