,prime AAB,prime ABA,prime ABB,prime ABCa,prime ABCb
AAB Pattern Outputs,52.0,4.0,6.0,33.0,18.0
ABA Pattern Outputs,84.0,97.0,42.0,24.0,9.0
ABB Pattern Outputs,0.0,0.0,38.0,8.0,20.0
ABC Pattern Outputs,0.0,64.0,83.0,99.0,111.0
Other Outputs,60.0,32.0,23.0,30.0,28.0
