,prime AAB,prime ABA,prime ABB,prime ABCa,prime ABCb
AAB Pattern Outputs,407.0,13.0,9.0,3.0,2.0
ABA Pattern Outputs,0.0,345.0,0.0,1.0,1.0
ABB Pattern Outputs,0.0,0.0,287.0,100.0,112.0
ABC Pattern Outputs,0.0,60.0,175.0,385.0,378.0
Other Outputs,87.0,75.0,26.0,10.0,5.0
