,prime AAB,prime ABA,prime ABB,prime ABCa,prime ABCb
AAB Pattern Outputs,199.0,23.0,27.0,120.0,63.0
ABA Pattern Outputs,304.0,374.0,127.0,67.0,38.0
ABB Pattern Outputs,0.0,0.0,171.0,44.0,53.0
ABC Pattern Outputs,0.0,174.0,281.0,330.0,392.0
Other Outputs,186.0,119.0,68.0,123.0,118.0
