,prime AAB,prime ABA,prime ABB,prime ABCa,prime ABCb
AAB Pattern Outputs,26.0,3.0,2.0,18.0,5.0
ABA Pattern Outputs,43.0,50.0,25.0,8.0,5.0
ABB Pattern Outputs,0.0,0.0,20.0,4.0,7.0
ABC Pattern Outputs,0.0,36.0,46.0,65.0,75.0
Other Outputs,31.0,11.0,7.0,5.0,8.0
