,prime AAB,prime ABA,prime ABB,prime ABCa,prime ABCb
AAB Pattern Outputs,830.0,44.0,111.0,1.0,0.0
ABA Pattern Outputs,1.0,715.0,99.0,0.0,0.0
ABB Pattern Outputs,7.0,47.0,548.0,15.0,8.0
ABC Pattern Outputs,65.0,186.0,226.0,979.0,988.0
Other Outputs,97.0,8.0,16.0,5.0,4.0
