,prime AAB,prime ABA,prime ABB,prime ABCa,prime ABCb
AAB Pattern Outputs,867.0,385.0,738.0,575.0,491.0
ABA Pattern Outputs,2.0,65.0,6.0,19.0,15.0
ABB Pattern Outputs,0.0,2.0,8.0,4.0,3.0
ABC Pattern Outputs,3.0,6.0,4.0,276.0,254.0
Other Outputs,128.0,542.0,244.0,126.0,237.0
