,prime AAB,prime ABA,prime ABB,prime ABCa,prime ABCb
AAB Pattern Outputs,863.0,385.0,738.0,575.0,491.0
ABA Pattern Outputs,2.0,57.0,6.0,19.0,15.0
ABB Pattern Outputs,0.0,2.0,7.0,4.0,2.0
ABC Pattern Outputs,3.0,5.0,4.0,271.0,244.0
Other Outputs,8.0,0.0,3.0,14.0,11.0
